#Exudyn implicit second order time integration sensor output file
#measure Object number = 15
#OutputVariableType = Rotation
#simulation started = 2025-07-27,12:22:15
#columns contain: time, comma separated sensor values (e.g, x,y,z position coordinates)
#number of sensor values = 1
#Exudyn version = 1.10.0; Python3.13.2; Windows AVX2 FLOAT64
#
0,-0
0.02,0.0008201686755
0.04,0.0009474446086
0.06,0.0006845082555
0.08,0.0005035262036
0.1,0.0002341265235
0.12,-0.0001563871259
0.14,-0.001848929942
0.16,-0.002632937911
0.18,-0.001701978356
0.2,-0.001374241738
0.22,-0.001254972851
0.24,-0.001140057086
0.26,-0.001127399711
0.28,0.00660105828
0.3,0.02722603978
0.32,0.05783860457
0.34,0.09870181263
0.36,0.1500873711
0.38,0.2118257346
0.4,0.2711846383
0.42,0.3149081035
0.44,0.3490805674
0.46,0.373921614
0.48,0.3889673887
0.5,0.3940302405
0.52,0.3620777761
0.54,0.2508907425
0.56,0.06535232779
0.58,-0.192544054
0.6,-0.5215618695
0.62,-0.9212246187
0.64,-1.369205246
0.66,-1.756893779
0.68,-2.069128164
0.7,-2.297648828
0.72,-2.446017652
0.74,-2.519263596
0.76,-2.518808828
0.78,-2.452023849
0.8,-2.324525687
0.82,-2.132838503
0.84,-1.875486027
0.86,-1.549544263
0.88,-1.154947457
0.9,-0.7786123108
0.92,-0.4969226607
0.94,-0.2773810924
0.96,-0.1178226954
0.98,-0.02182323697
1,0.01019191049
1.02,0.0006809918828
1.04,-0.0005168249231
1.06,5.667447084e-05
1.08,1.858531872e-05
1.1,-6.388095532e-06
1.12,-5.426719905e-07
1.14,4.111956225e-07
1.16,-1.756898192e-07
1.18,-1.642867428e-07
1.2,-1.17393501e-07
1.22,-1.258749282e-07
1.24,-1.284490554e-07
1.25,-1.277699817e-07
